L        beta       energy       spec-heat    abs-magnet   suscept
019      0.3976      -0.552244        0.235014             0.289307         5.308391
019      0.4332      -0.707368        0.457426             0.661662         7.314445
019      0.4482      -0.762161        0.277542             0.779391         1.780535
019      0.4655      -0.807590        0.332893             0.827424         2.518067
019      0.4859      -0.850637        0.202132             0.891745         0.501116
019      0.3310      -0.410249        0.124600             0.126150         1.220352
019      0.5055      -0.885651        0.161235             0.924321         0.240943
019      0.4192      -0.622493        0.324612             0.498449         7.764618
019      0.4880      -0.849917        0.209100             0.890360         0.735015
019      0.5590      -0.932521        0.100812             0.958892         0.085357
019      0.3787      -0.498615        0.189060             0.247756         4.624849
019      0.3996      -0.557673        0.281134             0.339391         6.766868
019      0.4672      -0.808310        0.250050             0.841108         1.098258
019      0.4347      -0.712687        0.463057             0.683934         5.195397
019      0.4497      -0.761773        0.440167             0.766039         3.764083
019      0.5698      -0.936731        0.099233             0.962050         0.086277
019      0.3381      -0.415125        0.100047             0.143657         1.643156
019      0.4689      -0.813795        0.387361             0.829141         3.744698
019      0.4208      -0.623546        0.299667             0.480942         7.168104
019      0.5085      -0.878726        0.153167             0.916620         0.297717
019      0.4016      -0.578172        0.310738             0.396953         7.201286
019      0.3442      -0.423158        0.108088             0.149917         1.419228
019      0.4902      -0.852133        0.265261             0.890526         0.494053
019      0.4362      -0.700886        0.423741             0.668975         6.326366
019      0.3814      -0.508975        0.140689             0.252022         3.434155
019      0.5117      -0.894515        0.209318             0.930471         0.327764
019      0.4512      -0.760997        0.399672             0.776122         2.454472
019      0.5848      -0.945374        0.123037             0.967424         0.104767
019      0.4035      -0.555956        0.249011             0.285873         6.648123
019      0.4377      -0.679945        0.466001             0.576399         6.902186
019      0.4706      -0.810859        0.303424             0.839003         1.869469
019      0.3840      -0.519834        0.248298             0.240665         5.652453
019      0.3495      -0.434903        0.139796             0.151634         1.807694
019      0.4528      -0.758061        0.455529             0.763823         4.394073
019      0.4224      -0.648421        0.295757             0.514792         7.680078
019      0.5151      -0.895125        0.147862             0.932410         0.188071
019      1.0000      -0.998393        0.008124             0.999169         0.002322
019      0.3865      -0.528643        0.175440             0.305817         4.724834
019      0.4392      -0.720831        0.374987             0.705706         5.749615
019      0.4054      -0.578172        0.234988             0.392299         7.485956
019      0.4239      -0.645152        0.393685             0.531967         7.599424
019      0.3543      -0.449418        0.125539             0.158947         2.396748
019      0.4543      -0.779945        0.320821             0.795291         3.431923
019      0.5188      -0.898227        0.147283             0.936288         0.157877
019      0.4072      -0.587590        0.223585             0.383657         6.781802
020      0.3888      -0.517750        0.216361             0.261300         4.456640
020      0.4925      -0.864950        0.184979             0.900650         0.607621
020      0.0000      -0.010000        0.000000             0.015000         0.000000
020      0.4724      -0.803700        0.387094             0.813800         4.865142
020      0.4407      -0.736950        0.368357             0.729550         4.673069
020      0.4559      -0.777600        0.275713             0.797250         1.831581
020      0.3586      -0.464400        0.133944             0.165750         2.124597
020      0.5228      -0.900400        0.113816             0.933950         0.236061
020      0.4255      -0.659750        0.373329             0.563900         8.148841
020      0.2719      -0.316450        0.055673             0.078900         0.470963
020      0.4742      -0.835400        0.264995             0.873900         0.640735
020      0.4090      -0.596900        0.383459             0.435300         8.340378
020      0.3911      -0.537500        0.202543             0.303400         5.518680
020      0.4422      -0.741000        0.468869             0.732150         4.419183
020      0.3626      -0.467250        0.133228             0.181650         2.365210
020      0.4574      -0.791600        0.279318             0.832150         1.122890
020      0.4107      -0.603550        0.359764             0.413150         8.966496
020      0.4949      -0.865100        0.209408             0.901900         0.433900
020      0.4760      -0.831900        0.255427             0.873000         0.663739
020      0.4271      -0.691450        0.438841             0.657500         5.594435
020      0.5271      -0.905150        0.166822             0.937750         0.257508
020      0.3662      -0.480350        0.185894             0.205500         3.407029
020      0.4779      -0.830150        0.199801             0.868550         0.653541
020      0.2965      -0.343600        0.066672             0.118050         0.706115
020      0.4590      -0.783850        0.348160             0.801700         2.942763
020      0.3933      -0.550950        0.222133             0.326400         5.708935
020      0.4974      -0.867150        0.157146             0.904000         0.385953
020      0.4437      -0.725550        0.403567             0.700850         5.923120
020      0.4125      -0.585400        0.227016             0.338850         8.728115
020      0.5318      -0.906700        0.157445             0.940650         0.169188
020      0.4798      -0.827850        0.228143             0.865550         0.828183
